Traditional	Simplified	Pinyin
農場	农场	nóngchǎng
誠懇	诚恳	chéngkěn
回顧	回顾	huígù
心聲	心声	xīnshēng
華視	华视	huáshì
上司	上司	shàngsī
只	只	zhǐ
分辨	分辨	fēnbiàn
毛	毛	máo
主管	主管	zhǔguǎn
分手	分手	fēnshǒu
回顧	回顾	huígù
喜	喜	xǐ
田野	田野	tiányě
緊緊	紧紧	jǐnjǐn
一共	一共	yīgòng
型式	型式	xíngshì
有意思	有意思	yǒuyìsī
衝動	冲动	chōngdòng
然	然	rán
君	君	38139
具	具	jù
度假	度假	dùjià
根源	根源	gēnyuán
度假	度假	dùjià
島嶼	岛屿	dǎoyǔ
部位	部位	bùwèi
溫和	温和	wēnhé
細菌	细菌	xìjùn
情節	情节	qíngjié
情態	情态	qíngtài
造形	造形	zàoxíng
國防部	国防部	guófángbù
逾	逾	yū
殺死	杀死	shāsǐ
法案	法案	fǎàn
誠懇	诚恳	chéngkěn
語音	语音	yǔyīn
遠景	远景	yuǎnjǐng
適時	适时	shìshí
歌手	歌手	gēshǒu
熱情	热情	rèqíng
選購	选购	xuǎngòu
輻射	辐射	fúshè
親友	亲友	qīnyǒu
短暫	短暂	duǎnzhàn
順便	顺便	shùnbiàn
標準	标准	biāozhǔn
鑑定	鑑定	jiàndìng
選購	选购	xuǎngòu
盤勢	盘势	pánshì
出走	出走	chūzǒu
辭職	辞职	cízhí
不大	不大	bùdà
中小學	中小学	zhōngxiǎoxué
王子	王子	wángzǐ
考上	考上	kǎoshàng
鑑定	鑑定	jiàndìng
趨	趋	qū
辭職	辞职	cízhí
獅子	狮子	shīzi5
建物	建物	jiànwù
蘋果	苹果	píngguǒ
伸出	伸出	shēnchū
肢體	肢体	zhītǐ
神通	神通	shéntōng
地方性	地方性	dìfāngxìng
依舊	依旧	yījiù
仲介	仲介	zhòngjiè
折扣	折扣	zhékòu
仲介	仲介	zhòngjiè
保有	保有	bǎoyǒu
相繼	相继	xiāngjì
修行	修行	xiūxíng
省委	省委	shěngwěi
從而	从而	cóngér
自信	自信	zìxìn
專科	专科	zhuānkē
捐	捐	juān
竟是	竟是	jìngshì
航線	航线	hángxiàn
情結	情结	qíngjiē
率領	率领	shuàilǐng
細心	细心	xìxīn
旋律	旋律	xuánlù
最終	最终	zuìzhōng
掉	掉	diào
種植	种植	zhòngzhí
一般而言	一般而言	yībānéryán
生死	生死	shēngsǐ
化妝品	化妆品	huàzhuāngpǐn
大笑	大笑	dàxiào
適度	适度	shìdù
精彩	精彩	jīngcǎi
緩慢	缓慢	huǎnmàn
精彩	精彩	jīngcǎi
王國	王国	wángguó
頭	头	tóu
劇本	剧本	jùběn
包	包	bāo
末	末	mò
不明	不明	bùmíng
布	布	bù
月光	月光	yuèguāng
地價	地价	dìjià
轉業	转业	zhuǎnyè
講求	讲求	jiǎngqiú
護理	护理	hùlǐ
點頭	点头	diǎntóu
轉業	转业	zhuǎnyè
嘴巴	嘴巴	zuǐbā
家教	家教	jiājiào
盈餘	盈余	yíngyū
竹	竹	zhú
坦承	坦承	tǎnchéng
孤獨	孤独	gūdú
米	米	mǐ
孤獨	孤独	gūdú
種植	种植	zhòngzhí
表現出	表现出	biǎoxiànchū
孫	孙	sūn
侵犯	侵犯	qīnfàn
果實	果实	guǒshí
侵犯	侵犯	qīnfàn
郵票	邮票	yóupiào
自願	自愿	zìyuàn
挑選	挑选	tiāoxuǎn
會計	会计	kuàijì
勞力	劳力	láolì
費	费	fèi
新竹縣	新竹县	xīnzhúxiàn
運動會	运动会	yùndònghuì
堅強	坚强	jiānqiáng
目光	目光	mùguāng
堅強	坚强	jiānqiáng
偏偏	偏偏	piānpiān
挑選	挑选	tiāoxuǎn
給付	给付	jǐfù
靜態	静态	jìngtài
演唱會	演唱会	yǎnchànghuì
播出	播出	bòchū
經貿	经贸	jīngmào
播出	播出	bòchū
發射	发射	fāshè
幹什麼	干什么	gànshénmo5
發射	发射	fāshè
聘請	聘请	pìnqǐng
浪費	浪费	làngfèi
舞	舞	wǔ
無疑	无疑	wúyí
噪音	噪音	zàoyīn
與其	与其	yǔqí
學說	学说	xuéshuō
日圓	日圆	rìyuán
有力	有力	yǒulì
大道	大道	dàdào
午餐	午餐	wǔcān
中	中	zhòng
肌肉	肌肉	jīròu
禪	禅	chán
處境	处境	chǔjìng
繞	绕	rào
國營	国营	guóyíng
警告	警告	jǐnggào
住院	住院	zhùyuàn
先天	先天	xiāntiān
低於	低于	dīyū
夾	夹	jiá
找尋	找寻	zhǎoxún
移送	移送	yísòng
住院	住院	zhùyuàn
起床	起床	qǐchuáng
相容	相容	xiāngróng
是非	是非	shìfēi
南京	南京	nánjīng
省立	省立	shěnglì
浴室	浴室	yūshì
拆	拆	chāi
密度	密度	mìdù
壯觀	壮观	zhuàngguān
紀念館	纪念馆	jìniànguǎn
迷人	迷人	mírén
高雄縣	高雄县	gāoxióngxiàn
深遠	深远	shēnyuǎn
追查	追查	zhuīchá
眼神	眼神	yǎnshén
眷村	眷村	juàncūn
追查	追查	zhuīchá
粗	粗	cū
國有	国有	guóyǒu
開刀	开刀	kāidāo
邀集	邀集	yāojí
水墨	水墨	shuǐmò
激勵	激励	jīlì
選修	选修	xuǎnxiū
激勵	激励	jīlì
甄試	甄试	zhēnshì
標誌	标志	biāozhì
甲	甲	jiǎ
去	去	qù
可觀	可观	kěguān
下車	下车	xiàchē
讀經	读经	dújīng
提及	提及	tíjí
埋	埋	mái
仍舊	仍旧	réngjiù
奉獻	奉献	fèngxiàn
沿海	沿海	yánhǎi
任	任	rèn
安心	安心	ānxīn
奉獻	奉献	fèngxiàn
進展	进展	jìnzhǎn
厚	厚	hòu
農委會	农委会	nóngwěihuì
即為	即为	jíwéi
開啟	开启	kāiqǐ
立陶宛	立陶宛	lìtáowǎn
鄉公所	乡公所	xiānggōngsuǒ
開啟	开启	kāiqǐ
座談	座谈	zuòtán
門票	门票	ménpiào
一體	一体	yītǐ
裏面	裏面	lǐmiàn
試驗	试验	shìyàn
惡性	恶性	èxìng
鄉鎮	乡镇	xiāngzhèn
董事	董事	dǒngshì
跡象	迹象	jīxiàng
鞋子	鞋子	xiézi5
瑞典	瑞典	ruìdiǎn
導師	导师	dǎoshī
選定	选定	xuǎndìng
用以	用以	yòngyǐ
出任	出任	chūrèn
循	循	xún
不顧	不顾	búgù
絲	丝	sī
央行	央行	yāngháng
騷擾	骚扰	sāorǎo
田徑	田径	tiánjìng
在意	在意	zàiyì
循	循	xún
往來	往来	wǎnglái
慎重	慎重	shènzhòng
往來	往来	wǎnglái
何處	何处	héchù
事變	事变	shìbiàn
好	好	hào
老家	老家	lǎojiā
立法委員	立法委员	lìfǎwěiyuán
空軍	空军	kōngjūn
貢獻	贡献	gòngxiàn
負責任	负责任	fùzérèn
高	高	gāo
高大	高大	gāodà
終身	终身	zhōngshēn
缺失	缺失	quēshī
教會	教会	jiàohuì
啟發	启发	qǐfā
南韓	南韩	nánhán
抱持	抱持	bàochí
心願	心愿	xīnyuàn
裏	裏	lǐ
蔬菜	蔬菜	shūcài
零用錢	零用钱	língyòngqián
餐館	餐馆	cānguǎn
算了	算了	suànle5
錯	错	cuò
融資	融资	róngzī
舞者	舞者	wǔzhě
濃	浓	nóng
打擊	打击	dǎjí
考試	考试	kǎoshì
不堪	不堪	bùkān
氣象	气象	qìxiàng
冊	册	cè
縮小	缩小	suōxiǎo
爛	烂	làn
開幕	开幕	kāimù
人為	人为	rénwéi
弱勢	弱势	ruòshì
意外	意外	yìwài
行政院長	行政院长	xíngzhèngyuànzhǎng
物體	物体	wùtǐ
家事	家事	jiāshì
徐	徐	xú
拍照	拍照	pāizhào
病	病	bìng
東歐	东欧	dōngōu
頓時	顿时	dùnshí
刻	刻	kè
傳染	传染	chuánrǎn
開幕	开幕	kāimù
單身	单身	dānshēn
傳染	传染	chuánrǎn
景色	景色	jǐngsè
印	印	yìn
現任	现任	xiànrèn
外匯	外汇	wàihuì
測量	测量	cèliáng
緩緩	缓缓	huǎnhuǎn
右手	右手	yòushǒu
學費	学费	xuéfèi
頻道	频道	píndào
一味	一味	yīwèi
糖	糖	táng
製品	制品	zhìpǐn
數	数	shǔ
樓梯	楼梯	lóutī
天真	天真	tiānzhēn
嚮往	嚮往	xiàngwǎng
熱愛	热爱	rèài
山谷	山谷	shāngǔ
不一	不一	bùyī
卡片	卡片	kǎpiàn
女友	女友	nǔyǒu
引	引	yǐn
公聽會	公听会	gōngtīnghuì
出貨	出货	chūhuò
發作	发作	fāzuò
顯現	显现	xiǎnxiàn
戰績	战绩	zhànjī
嚮往	嚮往	xiàngwǎng
顧及	顾及	gùjí
藝人	艺人	yìrén
共享	共享	gòngxiǎng
亞運	亚运	yǎyùn
地毯	地毯	dìtǎn
熱愛	热爱	rèài
沒有	没有	méiyǒu
搖	摇	yáo
受理	受理	shòulǐ
肝癌	肝癌	gānyán
受理	受理	shòulǐ
老年人	老年人	lǎoniánrén
何	何	hé
保養	保养	bǎoyǎng
花朵	花朵	huāduǒ
促成	促成	cùchéng
屋子	屋子	wūzi5
桌子	桌子	zhuōzi5
成交量	成交量	chéngjiāoliàng
誇張	夸张	kuāzhāng
測量	测量	cèliáng
威力	威力	wēilì
部	部	bù
新人	新人	xīnrén
記者會	记者会	jìzhěhuì
書店	书店	shūdiàn
現金	现金	xiànjīn
消化	消化	xiāohuà
商機	商机	shāngjī
性教育	性教育	xìngjiàoyū
回想	回想	huíxiǎng
不解	不解	bùjiě
憲法	宪法	xiànfǎ
熟	熟	shú
外商	外商	wàishāng
談論	谈论	tánlùn
親人	亲人	qīnrén
可靠	可靠	kěkào
視窗	视窗	shìchuāng
變革	变革	biàngé
牌	牌	pái
圖說	图说	túshuō
主語	主语	zhǔyǔ
一貫	一贯	yīguàn
外觀	外观	wàiguān
瓦斯	瓦斯	wǎsī
主觀	主观	zhǔguān
關卡	关卡	guānkǎ
囉	囉	luó
邊界	边界	biānjiè
廳	厅	tīng
轉為	转为	zhuǎnwéi
抑制	抑制	yìzhì
減低	减低	jiǎndī
臉色	脸色	liǎnsè
怎能	怎能	zěnnéng
屍體	尸体	shītǐ
鳥兒	鸟儿	niǎoér
成就感	成就感	chéngjiùgǎn
美軍	美军	měijūn
師長	师长	shīzhǎng
河流	河流	héliú
容積	容积	róngjī
信徒	信徒	xìntú
品味	品味	pǐnwèi
客家	客家	kèjiā
要素	要素	yàosù
氧氣	氧气	yǎngqì
塑膠	塑胶	sùjiāo
乘	乘	chéng
信用卡	信用卡	xìnyòngkǎ
雷射	雷射	léishè
國建	国建	guójiàn
無不	无不	wúbù
處長	处长	chùzhǎng
採集	采集	cǎijí
書本	书本	shūběn
笑	笑	xiào
掀起	掀起	xiānqǐ
偏遠	偏远	piānyuǎn
親密	亲密	qīnmì
鋼鐵	钢铁	gāngtiě
燃燒	燃烧	ránshāo
雕刻	雕刻	diāokè
噴	喷	pēn
燃燒	燃烧	ránshāo
綠島	绿岛	lùdǎo
輪流	轮流	lúnliú
鄰近	邻近	línjìn
擊敗	击败	jíbài
結	结	jié
分發	分发	fēnfā
謹慎	谨慎	jǐnshèn
樂曲	乐曲	yuèqǔ
世上	世上	shìshàng
外婆	外婆	wàipó
巨人	巨人	jùrén
用功	用功	yònggōng
人情	人情	rénqíng
公務人員	公务人员	gōngwùrényuán
生日	生日	shēngrì
天才	天才	tiāncái
尺寸	尺寸	chǐcùn
覺	觉	jué
戀愛	恋爱	liànài
謹慎	谨慎	jǐnshèn
短線	短线	duǎnxiàn
停放	停放	tíngfàng
戀愛	恋爱	liànài
走入	走入	zǒurù
孝順	孝顺	xiàoshùn
多樣化	多样化	duōyànghuà
住家	住家	zhùjiā
步道	步道	bùdào
免得	免得	miǎnde5
股份	股份	gǔfèn
派員	派员	pàiyuán
知識分子	知识分子	zhīshìfènzǐ
停放	停放	tíngfàng
傳承	传承	chuánchéng
售	售	shòu
攻下	攻下	gōngxià
牽	牵	qiān
笨	笨	bèn
散步	散步	sànbù
蚊子	蚊子	wénzi5
愛國	爱国	àiguó
傳承	传承	chuánchéng
國旗	国旗	guóqí
異	异	yì
逃	逃	táo
基督教	基督教	jīdūjiào
常識	常识	chángshì
掌聲	掌声	zhǎngshēng
教訓	教训	jiàoxùn
愛國	爱国	àiguó
賓語	宾语	bīnyǔ
寫下	写下	xiěxià
總數	总数	zǒngshù
電腦化	电脑化	diànnǎohuà
聚	聚	jù
精確	精确	jīngquè
登山	登山	dēngshān
富有	富有	fùyǒu
登山	登山	dēngshān
學子	学子	xuézǐ
創下	创下	chuàngxià
簽約	签约	qiānyuē
電池	电池	diànchí
電腦化	电脑化	diànnǎohuà
出版社	出版社	chūbǎnshè
加快	加快	jiākuài
手槍	手枪	shǒuqiāng
工藝	工艺	gōngyì
台東	台东	táidōng
文書	文书	wénshū
繪圖	绘图	huìtú
簽約	签约	qiānyuē
蘇	苏	sū
換言之	换言之	huànyánzhī
中醫	中医	zhōngyī
尺度	尺度	chǐdù
再者	再者	zàizhě
火車站	火车站	huǒchēzhàn
僅僅	仅仅	jǐnjǐn
伸手	伸手	shēnshǒu
矣	矣	yǐ
老實	老实	lǎoshí
良心	良心	liángxīn
多重	多重	duōchóng
旺盛	旺盛	wàngshèng
股東	股东	gǔdōng
苗栗縣	苗栗县	miáolìxiàn
約	约	yuē
受訓	受训	shòuxùn
流失	流失	liúshī
專注	专注	zhuānzhù
作出	作出	zuòchū
流失	流失	liúshī
感興趣	感兴趣	gǎnxìngqù
連繫	连系	liánxì
富	富	fù
條款	条款	tiáokuǎn
專注	专注	zhuānzhù
商業區	商业区	shāngyèqū
甜	甜	tián
聊	聊	liáo
莫斯科	莫斯科	mòsīkē
神情	神情	shénqíng
連繫	连系	liánxì
擁抱	拥抱	yǒngbào
實地	实地	shídì
擁抱	拥抱	yǒngbào
學童	学童	xuétóng
湯	汤	tāng
右派	右派	yòupài
世間	世间	shìjiān
量產	量产	liàngchǎn
想	想	xiǎng
下去	下去	xiàqù
平	平	píng
之上	之上	zhīshàng
全民健保	全民健保	quánmínjiànbǎo
外交部	外交部	wàijiāobù
避開	避开	bìkāi
體型	体型	tǐxíng
週末	週末	zhōumò
得主	得主	dézhǔ
體育館	体育馆	tǐyūguǎn
左右	左右	zuǒyòu
相連	相连	xiānglián
堅決	坚决	jiānjué
罪嫌	罪嫌	zuìxián
行駛	行驶	xíngshǐ
兼任	兼任	jiānrèn
好聽	好听	hǎotīng
為期	为期	wéiqí
科	科	kē
美濃	美浓	měinóng
誠意	诚意	chéngyì
名利	名利	mínglì
遊憩	遊憩	yóuqì
持有	持有	chíyǒu
新光	新光	xīnguāng
最早	最早	zuìzǎo
眼鏡	眼镜	yǎnjìng
海面	海面	hǎimiàn
第	第	dì
客家人	客家人	kèjiārén
膨脹	膨胀	péngzhàng
單獨	单独	dāndú
蟲	虫	chóng
膨脹	膨胀	péngzhàng
解脫	解脱	jiětuō
隧道	隧道	suìdào
熊膽	熊胆	xióngdǎn
熱潮	热潮	rècháo
復	复	fù
學系	学系	xuéxì
鼓掌	鼓掌	gǔzhǎng
日記	日记	rìjì
日趨	日趋	rìqū
外出	外出	wàichū
出路	出路	chūlù
外出	外出	wàichū
解脫	解脱	jiětuō
鐘	钟	zhōng
此後	此后	cǐhòu
衝	冲	chōng
同伴	同伴	tóngbàn
供給	供给	gōngjǐ
事故	事故	shìgù
握	握	wò
受害	受害	shòuhài
表明	表明	biǎomíng
炒作	炒作	chǎozuò
香水	香水	xiāngshuǐ
氣溫	气温	qìwēn
供給	供给	gōngjǐ
炒作	炒作	chǎozuò
教	教	jiào
買到	买到	mǎidào
畝	亩	mǔ
畔	畔	pàn
現	现	xiàn
情趣	情趣	qíngqù
理工	理工	lǐgōng
造就	造就	zàojiù
跌	跌	dié
總算	总算	zǒngsuàn
群體	群体	qúntǐ
集體	集体	jítǐ
談起	谈起	tánqǐ
硬碟	硬碟	yìngdié
棒	棒	bàng
遊覽	游览	yóulǎn
效能	效能	xiàonéng
選舉	选举	xuǎnjǔ
遊覽	遊览	yóulǎn
確立	确立	quèlì
獨	独	dú
功效	功效	gōngxiào
月份	月份	yuèfèn
公益	公益	gōngyì
不知不覺	不知不觉	bùzhībùjué
失蹤	失踪	shīzōng
終究	终究	zhōngjiù
懷	怀	huái
租界	租界	zūjiè
失蹤	失踪	shīzōng
行事	行事	xíngshì
好笑	好笑	hǎoxiào
旁人	旁人	pángrén
淡	淡	dàn
佩服	佩服	pèifú
那樣	那样	nàyàng
交代	交代	jiāodài
岩石	岩石	yánshí
行事	行事	xíngshì
交代	交代	jiāodài
任教	任教	rènjiào
浮現	浮现	fúxiàn
冒	冒	mào
處在	处在	chǔzài
專欄	专栏	zhuānlán
因子	因子	yīnzǐ
風波	风波	fēngbō
處	处	chǔ
臭	臭	chòu
許可	许可	xǔkě
貨幣	货币	huòbì
垂直	垂直	chuízhí
泡	泡	pào
招牌	招牌	zhāopái
許可	许可	xǔkě
說起	说起	shuōqǐ
監測	监测	jiāncè
應邀	应邀	yìngyāo
監測	监测	jiāncè
語氣	语气	yǔqì
遠離	远离	yuǎnlí
遠處	远处	yuǎnchù
距離	距离	jùlí
新進	新进	xīnjìn
郵局	邮局	yóujú
辨識	辨识	biànshì
發言人	发言人	fāyánrén
辨識	辨识	biànshì
標本	标本	biāoběn
徵求	征求	zhēngqiú
糟	糟	zāo
遠離	远离	yuǎnlí
徵	征	zhēng
出自	出自	chūzì
市政	市政	shìzhèng
公寓	公寓	gōngyū
子孫	子孙	zǐsūn
晶片	晶片	jīngpiàn
法庭	法庭	fǎtíng
小學生	小学生	xiǎoxuéshēng
含	含	hán
武功	武功	wǔgōng
登上	登上	dēngshàng
刪除	删除	shānchú
局部	局部	júbù
作為	作为	zuòwéi
洛杉磯	洛杉矶	luòshānjī
相近	相近	xiāngjìn
派系	派系	pàixì
負起	负起	fùqǐ
直	直	zhí
發	发	fā
會議室	会议室	huìyìshì
交由	交由	jiāoyóu
留意	留意	liúyì
當事人	当事人	dāngshìrén
無論如何	无论如何	wúlùnrúhé
勒索	勒索	lēsuǒ
教書	教书	jiāoshū
粒	粒	lì
蛋白質	蛋白质	dànbáizhí
勒索	勒索	lēsuǒ
晚餐	晚餐	wǎncān
淪為	沦为	lúnwéi
餐	餐	cān
導遊	导遊	dǎoyóu
牆壁	墙壁	qiángbì
錄取	录取	lùqǔ
綠地	绿地	lùdì
榮民	荣民	róngmín
緊密	紧密	jǐnmì
錄取	录取	lùqǔ
戰火	战火	zhànhuǒ
線上	线上	xiànshàng
試辦	试办	shìbàn
發	发	fā
殼	壳	ké
試辦	试办	shìbàn
干預	干预	gānyū
飄	飘	piāo
過世	过世	guòshì
藥品	药品	yàopǐn
安置	安置	ānzhì
額外	额外	éwài
開出	开出	kāichū
露營	露营	lùyíng
簡報	简报	jiǎnbào
贊同	赞同	zàntóng
簡易	简易	jiǎnyì
贊同	赞同	zàntóng
巴士	巴士	bāshì
代表性	代表性	dàibiǎoxìng
下班	下班	xiàbān
用力	用力	yònglì
傾向	倾向	qīngxiàng
全然	全然	quánrán
露營	露营	lùyíng
簡易	简易	jiǎnyì
思索	思索	sīsuǒ
美食	美食	měishí
修飾	修饰	xiūshì
信賴	信赖	xìnlài
突出	突出	túchū
信賴	信赖	xìnlài
美學	美学	měixué
深受	深受	shēnshòu
美女	美女	měinǔ
吸毒	吸毒	xīdú
防火	防火	fánghuǒ
取出	取出	qǔchū
安置	安置	ānzhì
何在	何在	hézài
修養	修养	xiūyǎng
釣魚	钓鱼	diàoyū
後續	后续	hòuxù
約束	约束	yuēshù
探究	探究	tànjiù
消費	消费	xiāofèi
過世	过世	guòshì
詮釋	诠释	quánshì
私下	私下	sīxià
這樣子	这样子	zhèyàngzi5
穿梭	穿梭	chuānsuō
敏銳	敏锐	mǐnruì
約束	约束	yuēshù
高手	高手	gāoshǒu
核定	核定	hédìng
探究	探究	tànjiù
紐西蘭	纽西兰	niǒuxīlán
優待	优待	yōudài
散發	散发	sànfā
農會	农会	nónghuì
經銷	经销	jīngxiāo
麻醉	麻醉	mázuì
硬	硬	yìng
條約	条约	tiáoyuē
校友	校友	xiàoyǒu
淺	浅	qiǎn
產物	产物	chǎnwù
動工	动工	dònggōng
猶如	犹如	yóurú
台視	台视	táishì
習性	习性	xíxìng
推銷	推销	tuīxiāo
深厚	深厚	shēnhòu
晚會	晚会	wǎnhuì
動工	动工	dònggōng
避	避	bì
體會到	体会到	tǐhuìdào
瀕臨	濒临	bīnlín
凡事	凡事	fánshì
練習	练习	liànxí
才能	才能	cáinéng
縣立	县立	xiànlì
打球	打球	dǎqiú
手工	手工	shǒugōng
地檢署	地检署	dìjiǎnshǔ
位元	位元	wèiyuán
肉體	肉体	ròutǐ
付費	付费	fùfèi
擁擠	拥挤	yǒngjǐ
餘	余	yū
架設	架设	jiàshè
文藝	文艺	wényì
沿途	沿途	yántú
招待	招待	zhāodài
架設	架设	jiàshè
招待	招待	zhāodài
長官	长官	zhǎngguān
師傅	师傅	shīfù
哲學家	哲学家	zhéxuéjiā
夏威夷	夏威夷	xiàwēiyí
放置	放置	fàngzhì
沈重	沈重	chénzhòng
泥土	泥土	nítǔ
卷	卷	juàn
自我	自我	zìwǒ
見解	见解	jiànjiě
定期	定期	dìngqí
推銷	推销	tuīxiāo
里長	里长	lǐzhǎng
善良	善良	shànliáng
餘	余	yū
遺跡	遗迹	yíjī
演說	演说	yǎnshuō
稅	税	shuì
經銷	经销	jīngxiāo
遊樂	遊乐	yóulè
麻醉	麻醉	mázuì
評審	评审	píngshěn
董事會	董事会	dǒngshìhuì
病情	病情	bìngqíng
善良	善良	shànliáng
數位	数位	shùwèi
勇於	勇于	yǒngyū
商量	商量	shāngliáng
繁華	繁华	fánhuá
章程	章程	zhāngchéng
清新	清新	qīngxīn
強人	强人	qiángrén
降價	降价	jiàngjià
哪兒	哪儿	nǎér
致使	致使	zhìshǐ
內外	内外	nèiwài
明明	明明	míngmíng
院方	院方	yuànfāng
員警	员警	yuánjǐng
金門	金门	jīnmén
耶穌	耶稣	yēsū
倒	倒	dǎo
收拾	收拾	shōushí
自覺	自觉	zìjué
形	形	xíng
老板	老板	lǎobǎn
老年	老年	lǎonián
候鳥	候鸟	hòuniǎo
踢	踢	tī
反覆	反复	fǎnfù
力氣	力气	lìqì
不法	不法	bùfǎ
不惜	不惜	bùxí
營收	营收	yíngshōu
福建	福建	fújiàn
寬廣	宽广	kuānguǎng
總和	总和	zǒnghé
瓶頸	瓶颈	píngjǐng
縣政府	县政府	xiànzhèngfǔ
通	通	tōng
盡力	尽力	jìnlì
繁華	繁华	fánhuá
減肥	减肥	jiǎnféi
等候	等候	děnghòu
圍牆	围墙	wéiqiáng
隊員	队员	duìyuán
農曆	农历	nónglì
減肥	减肥	jiǎnféi
電玩	电玩	diànwán
增添	增添	zēngtiān
擴展	扩展	kuòzhǎn
心理學	心理学	xīnlǐxué
鎮	镇	zhèn
齣	齣	chū
輿論	舆论	yūlùn
編輯	编辑	biānjí
發電	发电	fādiàn
創造出	创造出	chuàngzàochū
悲哀	悲哀	bēiāi
擴展	扩展	kuòzhǎn
義賣	义卖	yìmài
悲觀	悲观	bēiguān
裝置	装置	zhuāngzhì
買賣	买卖	mǎimài
義賣	义卖	yìmài
管教	管教	guǎnjiào
靜	静	jìng
新知	新知	xīnzhī
舞會	舞会	wǔhuì
悲哀	悲哀	bēiāi
寢室	寝室	qǐnshì
管教	管教	guǎnjiào
遴選	遴选	línxuǎn
廣東	广东	guǎngdōng
遴選	遴选	línxuǎn
檢察官	检察官	jiǎncháguān
予	予	yǔ
手臂	手臂	shǒubì
一家人	一家人	yìjiārén
心頭	心头	xīntóu
土壤	土壤	tǔrǎng
大廳	大厅	dàtīng
檢索	检索	jiǎnsuǒ
南北	南北	nánběi
懷孕	怀孕	huáiyùn
顧	顾	gù
醫藥	医药	yīyào
印刷	印刷	yìnshuā
志願	志愿	zhìyuàn
列	列	liè
肝	肝	gān
印刷	印刷	yìnshuā
替代	替代	tìdài
使命	使命	shǐmìng
惡劣	恶劣	èliè
研判	研判	yánpàn
長遠	长远	chángyuǎn
葉子	叶子	yèzi5
惡劣	恶劣	èliè
男士	男士	nánshì
悲觀	悲观	bēiguān
郊區	郊区	jiāoqū
準備好	准备好	zhǔnbèihǎo
祭典	祭典	jìdiǎn
脫	脱	tuō
情事	情事	qíngshì
理	理	lǐ
持股	持股	chígǔ
面	面	miàn
油價	油价	yóujià
眾	众	zhòng
祇	祇	zhǐ
寶貝	宝贝	bǎobèi
可行性	可行性	kěxíngxìng
平行	平行	píngxíng
手腳	手脚	shǒujiǎo
主機板	主机板	zhǔjībǎn
寶	宝	bǎo
山水	山水	shānshuǐ
響起	响起	xiǎngqǐ
藍色	蓝色	lánsè
鐘頭	钟头	zhōngtóu
紓解	纾解	shūjiě
重	重	zhòng
青	青	qīng
急救	急救	jíjiù
表決	表决	biǎojué
相差	相差	xiāngchā
探親	探亲	tànqīn
阻礙	阻碍	zǔài
表決	表决	biǎojué
消滅	消灭	xiāomiè
透明	透明	tòumíng
連絡	连络	liánluò
追逐	追逐	zhuīzhú
不可或缺	不可或缺	bùkěhuòquē
急救	急救	jíjiù
同	同	tóng
壯	壮	zhuàng
老	老	lǎo
來回	来回	láihuí
君子	君子	jūnzǐ
放學	放学	fàngxué
判決	判决	pànjué
射	射	shè
合	合	hé
東海	东海	dōnghǎi
流浪	流浪	liúlàng
阻礙	阻碍	zǔài
流浪	流浪	liúlàng
孩童	孩童	háitóng
穿上	穿上	chuānshàng
異議	异议	yìyì
判決	判决	pànjué
整整	整整	zhěngzhěng
心境	心境	xīnjìng
榮總	荣总	róngzǒng
紓解	纾解	shūjiě
優雅	优雅	yōuyǎ
駕駛	驾驶	jiàshǐ
錄音	录音	lùyīn
圖像	图像	túxiàng
檢視	检视	jiǎnshì
遺忘	遗忘	yíwàng
檢視	检视	jiǎnshì
鋼	钢	gāng
實例	实例	shílì
優雅	优雅	yōuyǎ
山林	山林	shānlín
錄音	录音	lùyīn
煩惱	烦恼	fánnǎo
追逐	追逐	zhuīzhú
愛丁堡	爱丁堡	àidīngbǎo
期盼	期盼	qípàn
菩薩	菩萨	púsà
駕駛	驾驶	jiàshǐ
距	距	jù
說服	说服	shuìfú
裝飾	装饰	zhuāngshì
越南	越南	yuènán
象	象	xiàng
說服	说服	shuìfú
餅	饼	bǐng
總公司	总公司	zǒnggōngsī
極力	极力	jílì
大賽	大赛	dàsài
失落	失落	shīluò
觀看	观看	guānkàn
全壘打	全垒打	quánlěidǎ
撰寫	撰写	zhuànxiě
無情	无情	wúqíng
過關	过关	guòguān
傳奇	传奇	chuánqí
散	散	sàn
超商	超商	chāoshāng
魚類	鱼类	yūlèi
準確	准确	zhǔnquè
震撼	震撼	zhènhàn
摔	摔	shuāi
踏	踏	tà
震撼	震撼	zhènhàn
增設	增设	zēngshè
採訪	采访	cǎifǎng
歐	欧	ōu
常態	常态	chángtài
檢舉	检举	jiǎnjǔ
零件	零件	língjiàn
潛在	潜在	qiánzài
檢舉	检举	jiǎnjǔ
質量	质量	zhíliàng
橋樑	桥樑	liáng
撰寫	撰写	zhuànxiě
回答	回答	huídá
北韓	北韩	běihán
反倒	反倒	fǎndào
北美	北美	běiměi
主意	主意	zhǔyì
親身	亲身	qīnshēn
冰	冰	bīng
早餐	早餐	zǎocān
失落	失落	shīluò
更換	更换	gēnghuàn
改建	改建	gǎijiàn
利息	利息	lìxí
中央	中央	zhōngyāng
竹子	竹子	zhúzi5
升高	升高	shēnggāo
波動	波动	bōdòng
改建	改建	gǎijiàn
成交	成交	chéngjiāo
情人	情人	qíngrén
波動	波动	bōdòng
終止	终止	zhōngzhǐ
採訪	采访	cǎifǎng
